route_short_name,stop_sequence,stop_name,stop_lat,stop_lon
R6,28,Vallbona d'Anoia,41.52025979,1.709010719
R6,28,Gornal,41.35488589,2.117431558
R6,29,Capellades,41.52153533,1.695130725
R6,29,Europa | Fira,41.35655892,2.124199344
R6,30,La Pobla de Claramunt,41.55461094,1.677906247
R6,30,Ildefons Cerdà,41.36090867,2.130023266
R6,31,Vilanova del Camí,41.57331472,1.642009216
R6,31,Magòria La Campana,41.36748768,2.138879447
R6,32,Igualada,41.57802651,1.629951133
R6,32,Barcelona - Plaça Espanya,41.3747199,2.148458333
R60,1,Igualada,41.57802651,1.629951133
R60,1,Barcelona - Plaça Espanya,41.3747199,2.148458333
R60,2,Vilanova del Camí,41.57331472,1.642009216
R60,3,La Pobla de Claramunt,41.55461094,1.677906247
R60,3,Ildefons Cerdà,41.36090867,2.130023266
R60,4,Capellades,41.52153533,1.695130725
R60,4,Europa | Fira,41.35655892,2.124199344
R60,5,Vallbona d'Anoia,41.52025979,1.709010719
R60,5,Gornal,41.35488589,2.117431558
R60,6,Piera,41.52591339,1.75450443
R60,6,Sant Josep,41.36070098,2.10991665
R60,7,Masquefa,41.502884,1.812625072
R60,7,L'Hospitalet Av. Carrilet,41.35793378,2.102709519
R60,8,Almeda,41.35306747,2.085251402
R60,9,Cornellà Riera,41.35147828,2.071263627
R60,10,Sant Esteve Sesrovires,41.49767605,1.8724438
R60,10,Sant Boi,41.34856143,2.042855988
R60,12,Martorell Central,41.4792845,1.925294975
R60,13,Santa Coloma de Cervelló,41.37064766,2.023520241
R60,14,Sant Vicenç dels Horts,41.38810839,2.012398952
R60,15,Sant Andreu de la Barca,41.44648001,1.973673502
R60,18,Sant Andreu de la Barca,41.44648001,1.973673502
R60,19,Sant Vicenç dels Horts,41.38810839,2.012398952
R60,20,Santa Coloma de Cervelló,41.37064766,2.023520241
R60,21,Martorell Central,41.4792845,1.925294975
R60,23,Sant Boi,41.34856143,2.042855988
R60,23,Sant Esteve Sesrovires,41.49767605,1.8724438
R60,24,Cornellà Riera,41.35147828,2.071263627
R60,25,Almeda,41.35306747,2.085251402
R60,26,L'Hospitalet Av. Carrilet,41.35793378,2.102709519
R60,26,Masquefa,41.502884,1.812625072
R60,27,Sant Josep,41.36070098,2.10991665
R60,27,Piera,41.52591339,1.75450443
R60,28,Gornal,41.35488589,2.117431558
R60,28,Vallbona d'Anoia,41.52025979,1.709010719
R60,29,Europa | Fira,41.35655892,2.124199344
R60,29,Capellades,41.52153533,1.695130725
R60,30,Ildefons Cerdà,41.36090867,2.130023266
R60,30,La Pobla de Claramunt,41.55461094,1.677906247
R60,31,Vilanova del Camí,41.57331472,1.642009216
R60,32,Barcelona - Plaça Espanya,41.3747199,2.148458333
R60,32,Igualada,41.57802651,1.629951133
R63,1,Igualada,41.57802651,1.629951133
R63,2,Vilanova del Camí,41.57331472,1.642009216
